,0
362.0,5.9390627839757e-05
363.0,8.618338465869063e-05
364.0,3.632608609045999e-05
365.0,0.0001398905374789513
366.0,0.00014113948970197082
367.0,4.111342876179592e-05
368.0,0.0007738048655163809
369.0,3.709424669009361e-05
370.0,6.072630032757032e-05
371.0,0.00016797003403091899
372.0,0.00032231713694328784
373.0,3.5230735733119244e-05
374.0,0.00012517651211046505
375.0,0.00018167322770475661
376.0,7.990033193436825e-05
377.0,4.0006486719660455e-05
378.0,6.781477576065767e-05
379.0,0.0001241780812159194
380.0,0.00012973660655488431
381.0,4.016048108099128e-05
382.0,6.252595223925994e-05
383.0,6.081804312236233e-05
384.0,0.0003134858012839859
385.0,0.0002953258433736173
386.0,0.0002948233387444103
387.0,7.823781887172279e-05
388.0,0.00016485383245429984
389.0,0.0001498326589183744
390.0,9.698694675330081e-05
391.0,3.556327031336595e-05
392.0,8.715040707994342e-05
393.0,3.664339938172552e-05
394.0,6.451758262185891e-05
395.0,3.5867691849572776e-05
396.0,4.016048108099128e-05
397.0,3.6323531243129535e-05
398.0,4.264988871231853e-05
399.0,0.00011667907202047831
400.0,6.0465995179993925e-05
401.0,0.00027468956521637425
402.0,0.0002050171112738853
403.0,0.0006075828575294898
404.0,4.9935852600651107e-05
405.0,8.197529351556889e-05
406.0,6.152113649415647e-05
407.0,3.536380819323589e-05
408.0,5.8403681661255683e-05
409.0,4.303403579076035e-05
410.0,3.7934007613208125e-05
411.0,3.5033792088471834e-05
412.0,0.0001344247785562312
413.0,5.158481617850824e-05
414.0,3.599444070950498e-05
415.0,4.139435498332425e-05
416.0,8.10946371246612e-05
417.0,3.605658675374143e-05
418.0,0.0001470166234320896
419.0,0.00011163044617154665
420.0,5.906414419006457e-05
421.0,0.0001617591950249855
422.0,0.0002981624167901941
423.0,0.0001552602706512034
424.0,0.0009707191184837177
425.0,3.744845696009638e-05
426.0,0.00013485625264230897
427.0,0.0001014695332845356
428.0,3.7830744015824904e-05
429.0,6.688929370223959e-05
430.0,0.00014174146400623596
431.0,0.00024373390977187415
432.0,3.53688646061865e-05
433.0,6.071680542569499e-05
434.0,0.00011027060250474174
435.0,5.590165485694992e-05
436.0,9.609053338221494e-05
437.0,4.016048108099128e-05
438.0,0.0003235026417696428
439.0,3.809539958001637e-05
440.0,4.057665322392954e-05
441.0,6.785843306158392e-05
442.0,0.00013198724208305352
443.0,0.0001780243995500715
444.0,0.0004462467041620945
445.0,3.672104467540669e-05
446.0,0.0002002375756446758
447.0,3.893026211815277e-05
448.0,0.0001218576677047772
449.0,6.319186092469883e-05
450.0,0.00016290464642147807
451.0,0.00018443335817244379
452.0,0.00017130338697744627
453.0,3.9524986592833894e-05
454.0,3.79460856854813e-05
455.0,3.568816168938561e-05
456.0,3.6239286029520994e-05
457.0,0.00014218152268264411
458.0,4.168655460174684e-05
459.0,8.441244581298712e-05
460.0,3.843363498267408e-05
461.0,5.469134935650658e-05
462.0,9.969151870555064e-05
463.0,0.0001236106198647894
464.0,4.168655460174684e-05
465.0,0.00011427545330338147
466.0,8.684581505602503e-05
467.0,0.00016650634733225773
468.0,0.0003502968677053451
469.0,3.9524986592833894e-05
470.0,3.9524986592833894e-05
471.0,6.1033018819519344e-05
472.0,0.00024007637266030738
473.0,5.921132775402521e-05
474.0,3.744845696009638e-05
475.0,6.532157571686808e-05
476.0,0.0001409080868166901
477.0,0.0005774817148131961
478.0,0.0002681066194751486
479.0,7.762386888438993e-05
480.0,9.714725645860217e-05
481.0,0.0005297498142287305
482.0,0.0001419023454695838
483.0,0.0003940009059967022
484.0,0.00028592290065686726
485.0,0.0003356478739493074
486.0,5.934920178885558e-05
487.0,7.919457449029346e-05
488.0,0.00018360153217371772
489.0,8.467430827296938e-05
490.0,0.00011273195698301895
491.0,5.890719013910938e-05
492.0,3.752911783260266e-05
493.0,0.0002206233131800528
494.0,0.00010057789789393085
495.0,0.00017062440815548274
496.0,4.009765809503947e-05
497.0,6.292813952005332e-05
498.0,0.0004875644638700593
499.0,0.00010695633022286253
500.0,0.00031131928123871385
501.0,0.00020597453325737198
502.0,7.620796679407951e-05
503.0,0.00013478165645797085
504.0,3.722823987068436e-05
505.0,4.5036476262995425e-05
506.0,3.744845696009638e-05
507.0,0.00029808251573963977
508.0,3.744845696009638e-05
509.0,7.97558895349549e-05
510.0,0.0005927083019164322
511.0,3.8153623212633964e-05
512.0,8.06316447973028e-05
513.0,0.0001303171975429674
514.0,3.744845696009638e-05
515.0,7.736960809502599e-05
516.0,3.744845696009638e-05
517.0,6.451758262185891e-05
518.0,0.00022625679154964648
519.0,0.00010762392182987614
520.0,3.744845696009638e-05
521.0,3.7702225211665776e-05
522.0,3.52241200517348e-05
523.0,5.9213079387194644e-05
524.0,3.744845696009638e-05
525.0,0.0001821892030261324
526.0,3.4307491687269535e-05
527.0,8.167544494255931e-05
528.0,0.00010355758503551896
529.0,5.942447389896272e-05
530.0,3.7830744015824904e-05
531.0,5.895558175691351e-05
532.0,5.0160893328826474e-05
533.0,0.0010779929235186973
534.0,7.420659022207103e-05
535.0,7.806028156493488e-05
536.0,0.00033952723213229803
537.0,7.898613461865657e-05
538.0,0.0010620422596154231
539.0,4.077821047809643e-05
540.0,0.00026521571617961996
541.0,5.682240365534779e-05
542.0,0.0002036579070084446
543.0,3.709424669009361e-05
544.0,5.8676363622185644e-05
545.0,3.777583816382866e-05
546.0,8.350354802974809e-05
547.0,4.0337988832550716e-05
548.0,0.00016663893690945577
549.0,3.744845696009638e-05
550.0,9.973876547030711e-05
551.0,3.744845696009638e-05
552.0,4.105794326296612e-05
553.0,0.0006378213251606732
554.0,3.617981250612953e-05
555.0,5.4343297848235026e-05
556.0,9.075140632963033e-05
557.0,3.833148352128085e-05
558.0,0.0004089134693744319
559.0,5.7330632326080705e-05
560.0,0.00021810347798920918
561.0,3.760598333017061e-05
562.0,8.128132726697414e-05
563.0,5.870040454276927e-05
